ZCOURSE (Z_PK) | ZID | ZQUESTION | ZANSWER | ZSTRENGTH
6|223|北|north|0
6|224|毎|every|0
6|225|妹|younger sister|0
6|226|万|ten thousand|0
6|227|明|bright|0
6|228|鳴|chirp|0
6|229|毛|hair|0
6|230|門|gates|0
6|231|夜|night|0
6|232|野|field|0
6|233|友|friend|0
6|234|用|use|0
6|235|曜|day of the week|0
6|236|来|come|0
6|237|里|village|0
6|238|理|reason|0
6|239|話|talk|0
9|240|悪|bad|0
9|241|安|cheap|0
9|242|暗|dark|0
9|243|医|medicine|0
9|244|委|committee|0
9|245|意|idea|0
9|246|育|nurture|0
9|247|員|member|0
9|248|院|institution|0
9|249|飲|drink|0
9|250|運|carry|0
9|251|泳|swim|0
9|252|駅|station|0
9|253|央|center|0
9|254|横|side|0
9|255|屋|roof|0
9|256|温|warm|0
9|257|化|change|0
9|258|荷|luggage|0
9|259|界|world|0
9|260|開|open|0
9|261|階|floor of a building|0
9|262|寒|cold|0
9|263|感|feeling|0
9|264|漢|China|0
9|265|館|public building|0
9|266|岸|beach|0
9|267|起|wake up|0
9|268|期|period of time|0
9|269|客|guest|0
9|270|究|research|0
9|271|急|hurry|0
9|272|級|rank|0
9|273|宮|Shinto shrine|0
9|274|球|sphere|0
9|275|去|leave|0
9|276|橋|bridge|0
9|277|業|business|0
9|278|曲|musical composition|0
9|279|局|office|0
9|280|銀|silver|0
9|281|区|ward|0
9|282|苦|suffer|0
9|283|具|tool|0
9|284|君|you|0
9|285|係|person in charge|0
9|286|軽|light|0
9|287|血|blood|0
9|288|決|decide|0
9|289|研|sharpen|0
9|290|県|prefecture|0
9|291|庫|warehouse|0
9|292|湖|lake|0
9|293|向|over there|0
9|294|幸|happiness|0
9|295|港|harbor|0
9|296|号|number|0
9|297|根|root|0
9|298|祭|festival|0
9|299|皿|dish|0
9|300|仕|do|0
9|301|死|death|0
9|302|使|use|0
9|303|始|begin|0
9|304|指|finger|0
9|305|歯|tooth|0
9|306|詩|poem|0
9|307|次|next|0
9|308|事|abstract thing|0
9|309|持|hold|0
9|310|式|style|0
9|311|実|truth|0
9|312|写|copy|0
9|313|者|someone|0
9|314|主|master|0
9|315|守|protect|0
9|316|取|take|0
9|317|酒|alcoholic drink|0
9|318|受|accept|0
9|319|州|state|0
9|320|拾|pick up|0
9|321|終|end|0
9|322|習|learn|0
9|323|集|collect|0
9|324|住|dwelling|0
9|325|重|heavy|0
9|326|宿|inn|0
9|327|所|place|0
9|328|暑|hot|0
9|329|助|help|0
9|330|昭|shining|0
9|331|消|extinguish|0
9|332|商|sell|0
9|333|章|chapter|0
9|334|勝|win|0
9|335|乗|ride|0
9|336|植|plant|0
9|337|申|say|0
9|338|身|body|0
9|339|神|god|0
9|340|真|TRUE|0
9|341|深|deep|0
9|342|進|advance|0
9|343|世|world|0
9|344|整|put in order|0
9|345|昔|long ago|0
9|346|全|whole|0
9|347|相|mutual|0
9|348|送|send|0
9|349|想|concept|0
9|350|息|breath|0
9|351|速|fast|0
9|352|族|tribe|0
9|353|他|other|0
9|354|打|hit|0
9|355|対|opposite|0
9|356|待|wait|0
9|357|代|substitute|0
9|358|第|ordinal number prefix|0
9|359|題|topic|0
9|360|炭|charcoal|0
9|361|短|short|0
9|362|談|discuss|0
9|363|着|wear|0
9|364|注|pour|0
9|365|柱|pillar|0
9|366|丁|ward|0
9|367|帳|account book|0
9|368|調|investigate|0
9|369|追|follow|0
9|370|定|decide|0
9|371|庭|garden|0
9|372|笛|flute|0
9|373|鉄|iron|0
9|374|転|revolve|0
9|375|都|metropolis|0
9|376|度|degrees|0
9|377|投|throw|0
9|378|豆|beans|0
9|379|島|island|0
9|380|湯|hot water|0
9|381|登|climb|0
9|382|等|class|0
9|383|動|move|0
9|384|童|juvenile|0
9|385|農|farming|0
9|386|波|wave|0
9|387|配|distribute|0
9|388|倍|double|0
9|389|箱|box|0
9|390|畑|farm|0
9|391|発|departure|0
9|392|反|anti-|0
9|393|坂|slope|0
9|394|板|board|0
9|395|皮|skin|0
9|396|悲|sad|0
9|397|美|beauty|0
9|398|鼻|nose|0
9|399|筆|writing brush|0
9|400|氷|ice|0
9|401|表|express|0
9|402|秒|second (part of time)|0
9|403|病|sick|0
9|404|品|article|0
9|405|負|lose|0
9|406|部|part|0
9|407|服|clothes|0
9|408|福|luck|0
9|409|物|thing|0
9|410|平|flat|0
9|411|返|return|0
9|412|勉|exertion|0
9|413|放|release|0
9|414|味|flavor|0
9|415|命|fate|0
9|416|面|face|0
9|417|問|question|0
9|418|役|service|0
9|419|薬|medicine|0
9|420|由|reason|0
9|421|油|oil|0
9|422|有|have|0
9|423|遊|play|0
9|424|予|in advance|0
9|425|羊|sheep|0
9|426|洋|ocean|0
9|427|葉|leaf|0
9|428|陽|sunshine|0
9|429|様|formal title|0
9|430|落|fall|0
9|431|流|stream|0
9|432|旅|trip|0
9|433|両|both|0
9|434|緑|green|0
9|435|礼|thanks|0
9|436|列|row|0
9|437|練|practice|0
9|438|路|road|0
9|439|和|peace|0
1|440|愛|love|0
1|441|案|plan|0
1|442|以|by means of|0
1|443|衣|clothes|0
1|444|位|rank|0
1|445|囲|surround|0
1|446|胃|stomach|0
1|447|印|mark|0
1|448|英|England|0
1|449|栄|prosperity|0
1|450|塩|salt|0
1|451|億|hundred million|0
1|452|加|add|0
1|453|果|fruit|0
1|454|貨|freight|0
1|455|課|section|0
1|456|芽|bud|0
1|457|改|reformation|0
1|458|械|contraption|0
1|459|害|harm|0
1|460|街|street|0
1|461|各|each|0
1|462|覚|memorize|0
1|463|完|perfect|0
1|464|官|government official|0
1|465|管|pipe|0
1|466|関|related|0
1|467|観|observe|0
1|468|願|request|0
1|469|希|hope|0
1|470|季|seasons|0
1|471|紀|chronicle|0
1|472|喜|rejoice|0
1|473|旗|national flag|0
1|474|器|container|0
1|475|機|machine|0
1|476|議|deliberation|0
1|477|求|request|0
1|478|泣|cry|0
1|479|救|salvation|0
1|480|給|salary|0
1|481|挙|raise|0
1|482|漁|fishing|0
1|483|共|together|0
1|484|協|cooperation|0
1|485|鏡|mirror|0
1|486|競|compete|0
1|487|極|poles|0
1|488|訓|instruction|0
1|489|軍|army|0
1|490|郡|county|0
1|491|径|diameter|0
1|492|型|model|0
1|493|景|scenery|0
1|494|芸|art|0
1|495|欠|lack|0
1|496|結|tie|0
1|497|建|build|0
1|498|健|healthy|0
1|499|験|test|0
1|500|固|hard|0
1|501|功|achievement|0
1|502|好|like|0
1|503|候|climate|0
1|504|航|cruise|0
1|505|康|health|0
1|506|告|tell|0
1|507|差|distinction|0
1|508|菜|vegetable|0
1|509|最|most|0
1|510|材|lumber|0
1|511|昨|previous|0
1|512|札|tag|0
1|513|刷|printing|0
1|514|殺|kill|0
1|515|察|guess|0
1|516|参|participate|0
1|517|産|give birth|0
1|518|散|scatter|0
1|519|残|remainder|0
1|520|士|gentleman|0
1|521|氏|family name|0
1|522|史|history|0
1|523|司|director|0
1|524|試|test|0
1|525|児|child|0
1|526|治|govern|0
1|527|辞|resign|0
1|528|失|lose|0
1|529|借|borrow|0
1|530|種|kind|0
1|531|周|circumference|0
1|532|祝|celebrate|0
1|533|順|obey|0
1|534|初|first|0
1|535|松|pine|0
1|536|笑|laugh|0
1|537|唱|chant|0
1|538|焼|bake|0
1|539|象|elephant|0
1|540|照|illuminate|0
1|541|賞|prize|0
1|542|臣|retainer|0
1|543|信|trust|0
1|544|成|become|0
1|545|省|government ministry|0
1|546|清|pure|0
1|547|静|quiet|0
1|548|席|seat|0
1|549|積|accumulate|0
1|550|折|fold|0
1|551|節|node|0
1|552|説|theory|0
1|553|浅|shallow|0
1|554|戦|war|0
1|555|選|choose|0
1|556|然|so|0
1|557|争|conflict|0
1|558|倉|warehouse|0
1|559|巣|nest|0
1|560|束|bundle|0
1|561|側|side|0
1|562|続|continue|0
1|563|卒|graduate|0
1|564|孫|grandchild|0
1|565|帯|sash|0
1|566|隊|group|0
1|567|達|attain|0
1|568|単|simple|0
1|569|置|put|0
1|570|仲|relationship|0
1|571|貯|savings|0
1|572|兆|portent, trillion|0
1|573|腸|intestines|0
1|574|低|low|0
1|575|底|bottom|0
1|576|停|halt|0
1|577|的|target|0
1|578|典|code|0
1|579|伝|transmit|0
1|580|徒|junior|0
1|581|努|toil|0
1|582|灯|lamp|0
1|583|堂|public chamber|0
1|584|働|work|0
1|585|特|special|0
1|586|得|acquire|0
1|587|毒|poison|0
1|588|熱|heat|0
1|589|念|thought|0
1|590|敗|failure|0
1|591|梅|ume (Japanese apricot)|0
1|592|博|Dr.|0
1|593|飯|meal|0
1|594|飛|fly|0
1|595|費|expense|0
1|596|必|without fail|0
1|597|票|ballot|0
1|598|標|signpost|0
1|599|不|non-|0
1|600|夫|husband|0
1|601|付|attach|0
1|602|府|urban prefecture|0
1|603|副|vice|0
1|604|粉|flour|0
1|605|兵|soldier|0
1|606|別|separate|0
1|607|辺|environs|0
1|608|変|change|0
1|609|便|convenience|0
1|610|包|wrap|0
1|611|法|method|0
1|612|望|hope|0
1|613|牧|breed|0
1|614|末|end|0
1|615|満|full|0
1|616|未|not yet|0
1|617|脈|vein|0
1|618|民|people|0
1|619|無|nothing|0
1|620|約|promise|0
1|621|勇|courage|0
1|622|要|need|0
1|623|養|foster|0
1|624|浴|bathe|0
1|625|利|profit|0
1|626|陸|land|0
1|627|良|good|0
1|628|料|fee|0
1|629|量|quantity|0
1|630|輪|wheel|0
1|631|類|sort|0
1|632|令|orders|0
1|633|冷|cool|0
1|634|例|example|0
1|635|歴|curriculum|0
1|636|連|take along|0
1|637|老|old man|0
1|638|労|labour|0
1|639|録|record|0
10|640|圧|pressure|0
10|641|移|shift|0
10|642|因|cause|0
10|643|永|eternity|0
10|644|営|manage|0
10|645|衛|defense|0
10|646|易|easy|0
10|647|益|benefit|0
10|648|液|fluid|0
10|649|演|perform|0
10|650|応|respond|0
10|651|往|outward journey|0
10|652|桜|cherry tree|0
10|653|恩|grace|0
10|654|可|possible|0
10|655|仮|temporary|0
10|656|価|value|0
10|657|河|river|0
10|658|過|go beyond|0
10|659|賀|congratulations|0
10|660|快|cheerful|0
10|661|解|untie|0
10|662|格|status|0
10|663|確|certain|0
10|664|額|amount|0
10|665|刊|publish|0
10|666|幹|tree-trunk|0
10|667|慣|accustomed|0
10|668|眼|eyeball|0
10|669|基|foundation|0
10|670|寄|approach|0
10|671|規|rule|0
10|672|技|skill|0
10|673|義|righteousness|0
10|674|逆|inverted|0
10|675|久|long time|0
10|676|旧|old times|0
10|677|居|reside|0
10|678|許|permit|0
10|679|境|boundary|0
10|680|均|level|0
10|681|禁|prohibition|0
10|682|句|phrase|0
10|683|群|flock|0
10|684|経|manage|0
10|685|潔|undefiled|0
10|686|件|affair|0
10|687|券|ticket|0
10|688|険|precipitous|0
10|689|検|examine|0
10|690|限|limit|0
10|691|現|appear|0
10|692|減|decrease|0
10|693|故|circumstances|0
10|694|個|individual|0
10|695|護|safeguard|0
10|696|効|effect|0
10|697|厚|thick|0
10|698|耕|till|0
10|699|鉱|mineral|0
10|700|構|construct|0
10|701|興|entertain|0
10|702|講|lecture|0
10|703|混|mix|0
10|704|査|investigate|0
10|705|再|again|0
10|706|災|disaster|0
10|707|妻|wife|0
10|708|採|pick|0
10|709|際|occasion|0
10|710|在|exist|0
10|711|財|wealth|0
10|712|罪|guilt|0
10|713|雑|miscellaneous|0
10|714|酸|acid|0
10|715|賛|approve|0
10|716|支|branch|0
10|717|志|intention|0
10|718|枝|branch|0
10|719|師|expert|0
10|720|資|resources|0
10|721|飼|domesticate|0
10|722|示|indicate|0
10|723|似|becoming|0
10|724|識|discriminating|0
10|725|質|quality|0
10|726|舎|cottage|0
10|727|謝|apologize|0
10|728|授|instruct|0
10|729|修|discipline|0
10|730|述|mention|0
10|731|術|art|0
10|732|準|standard|0
10|733|序|preface|0
10|734|招|beckon|0
10|735|承|acquiesce|0
10|736|証|evidence|0
10|737|条|clause|0
10|738|状|form|0
10|739|常|normal|0
10|740|情|feelings|0
10|741|織|weave|0
10|742|職|employment|0
10|743|制|control|0
10|744|性|gender|0
10|745|政|politics|0
10|746|勢|power|0
10|747|精|refined|0
10|748|製|manufacture|0
10|749|税|tax|0
10|750|責|blame|0
10|751|績|exploits|0
10|752|接|contact|0
10|753|設|establish|0
10|754|舌|tongue|0
10|755|絶|discontinue|0
10|756|銭|coin|0
10|757|祖|ancestor|0
10|758|素|elementary|0
10|759|総|whole|0
10|760|造|create|0
10|761|像|statue|0
10|762|増|increase|0
10|763|則|rule|0
10|764|測|fathom|0
10|765|属|belong|0
10|766|率|rate|0
10|767|損|loss|0
10|768|退|retreat|0
10|769|貸|lend|0
10|770|態|condition|0
10|771|団|group|0
10|772|断|cut off|0
10|773|築|fabricate|0
10|774|張|stretch|0
10|775|提|present|0
10|776|程|extent|0
10|777|適|suitable|0
10|778|敵|enemy|0
10|779|統|unite|0
10|780|銅|copper|0
10|781|導|guide|0
10|782|徳|benevolence|0
10|783|独|alone|0
10|784|任|responsibility|0
10|785|燃|burn|0
10|786|能|ability|0
10|787|破|rend|0
10|788|犯|crime|0
10|789|判|judge|0
10|790|版|printing block|0
10|791|比|compare|0
10|792|肥|fertilizer|0
10|793|非|negative|0
10|794|備|provide|0
10|795|俵|bag|0
10|796|評|evaluate|0
10|797|貧|poor|0
10|798|布|linen|0
10|799|婦|lady|0
10|800|富|rich|0
10|801|武|military|0
10|802|復|again|0
10|803|複|duplicate|0
10|804|仏|Buddha|0
10|805|編|compile|0
10|806|弁|valve|0
10|807|保|preserve|0
10|808|墓|grave|0
10|809|報|report|0
10|810|豊|bountiful|0
10|811|防|prevent|0
10|812|貿|trade|0
10|813|暴|outburst|0
10|814|務|duty|0
10|815|夢|dream|0
10|816|迷|astray|0
10|817|綿|cotton|0
10|818|輸|transport|0
10|819|余|leave over|0
10|820|預|deposit|0
10|821|容|contain|0
10|822|略|abbreviation|0
10|823|留|detain|0
10|824|領|territory|0
8|825|異|uncommon|0
8|826|遺|bequeath|0
8|827|域|range|0
8|828|宇|eaves|0
8|829|映|reflect|0
8|830|延|prolong|0
8|831|沿|run alongside|0
8|832|我|ego|0
8|833|灰|ashes|0
8|834|拡|broaden|0
8|835|革|leather|0
8|836|閣|tall|0
8|837|割|divide|0
8|838|株|stocks|0
8|839|干|dry|0
8|840|巻|scroll|0
8|841|看|watch over|0
8|842|簡|simplicity|0
8|843|危|dangerous|0
8|844|机|desk|0
8|845|揮|brandish|0
8|846|貴|precious|0
8|847|疑|doubt|0
8|848|吸|suck|0
8|849|供|offer|0
8|850|胸|bosom|0
8|851|郷|home town|0
8|852|勤|diligence|0
8|853|筋|muscle|0
8|854|系|lineage|0
8|855|敬|respect|0
8|856|警|guard against|0
8|857|劇|drama|0
8|858|激|violent|0
8|859|穴|hole|0
8|860|絹|silk|0
8|861|権|rights|0
8|862|憲|constitution|0
8|863|源|origin|0
8|864|厳|strict|0
8|865|己|self|0
8|866|呼|call|0
8|867|誤|mistake|0
8|868|后|empress|0
8|869|孝|filial piety|0
8|870|皇|emperor|0
8|871|紅|deep red|0
8|872|降|descend|0
8|873|鋼|steel|0
8|874|刻|engrave|0
8|875|穀|cereals|0
8|876|骨|bone|0
8|877|困|become distressed|0
8|878|砂|sand|0
8|879|座|sit|0
8|880|済|settle|0
8|881|裁|judge|0
8|882|策|scheme|0
8|883|冊|counter for books|0
8|884|蚕|silkworm|0
8|885|至|climax|0
8|886|私|me|0
8|887|姿|figure|0
8|888|視|look at|0
8|889|詞|poetry|0
8|890|誌|document|0
8|891|磁|magnet|0
8|892|射|shoot|0
8|893|捨|throw away|0
8|894|尺|shaku|0
8|895|若|young|0
8|896|樹|trees|0
8|897|収|take in|0
8|898|宗|religion|0
8|899|就|concerning|0
8|900|衆|masses|0
8|901|従|obey|0
8|902|縦|vertical|0
8|903|縮|shrink|0
8|904|熟|ripen|0
8|905|純|genuine|0
8|906|処|dispose|0
8|907|署|government office|0
8|908|諸|various|0
8|909|除|exclude|0
8|910|将|leader|0
8|911|傷|wound|0
8|912|障|hurt|0
8|913|城|castle|0
8|914|蒸|steam|0
8|915|針|needle|0
8|916|仁|humanity|0
8|917|垂|droop|0
8|918|推|infer|0
8|919|寸|measurement|0
8|920|盛|prosper|0
8|921|聖|holy|0
8|922|誠|sincerity|0
8|923|宣|proclaim|0
8|924|専|specialty|0
8|925|泉|spring|0
8|926|洗|wash|0
8|927|染|dye|0
8|928|善|good|0
8|929|奏|play music|0
8|930|窓|window|0
8|931|創|create|0
8|932|装|attire|0
8|933|層|stratum|0
8|934|操|maneuver|0
8|935|蔵|warehouse|0
8|936|臓|entrails|0
8|937|存|suppose|0
8|938|尊|revered|0
8|939|宅|home|0
8|940|担|shouldering|0
8|941|探|grope|0
8|942|誕|nativity|0
8|943|段|steps|0
8|944|暖|warmth|0
8|945|値|value|0
8|946|宙|mid-air|0
8|947|忠|loyalty|0
8|948|著|renowned|0
8|949|庁|government office|0
8|950|頂|place on the head|0
8|951|潮|tide|0
8|952|賃|fare|0
8|953|痛|pain|0
8|954|展|expand|0
8|955|討|chastise|0
8|956|党|group|0
8|957|糖|sugar|0
8|958|届|deliver|0
8|959|難|difficult|0
8|960|乳|milk|0
8|961|認|recognize|0
8|962|納|settlement|0
8|963|脳|brain|0
8|964|派|sect|0
8|965|拝|worship|0
8|966|背|back|0
8|967|肺|lungs|0
8|968|俳|haiku|0
8|969|班|squad|0
8|970|晩|nightfall|0
8|971|否|negate|0
8|972|批|criticism|0
8|973|秘|secret|0
8|974|腹|abdomen|0
8|975|奮|stirred up|0
8|976|並|line-up|0
8|977|陛|highness|0
8|978|閉|closed|0
8|979|片|one-sided|0
8|980|補|supplement|0
8|981|暮|livelihood|0
8|982|宝|treasure|0
8|983|訪|visit|0
8|984|亡|deceased|0
8|985|忘|forget|0
8|986|棒|rod|0
8|987|枚|sheet of...|0
8|988|幕|curtain|0
8|989|密|secrecy|0
8|990|盟|alliance|0
8|991|模|imitation|0
8|992|訳|translate|0
8|993|郵|mail|0
8|994|優|superior|0
8|995|幼|infancy|0
8|996|欲|longing|0
8|997|翌|the following|0
8|998|乱|riot|0
8|999|卵|egg|0
8|1000|覧|perusal|0
8|1001|裏|back|0
8|1002|律|law|0
8|1003|臨|look to|0
8|1004|朗|melodious|0
8|1005|論|theory|0
7|1006|亜|sub-|0
7|1007|哀|pathetic|0
7|1008|挨|push open|0
7|1009|曖|not clear|0
7|1010|握|grip|0
7|1011|扱|handle|0
7|1012|宛|allocate|0
7|1013|嵐|storm|0
7|1014|依|reliant|0
7|1015|威|intimidate|0
7|1016|為|do|0
7|1017|畏|fear|0
7|1018|尉|military officer|0
7|1019|萎|wither|0
7|1020|偉|admirable|0
7|1021|椅|chair|0
7|1022|彙|same kind|0
7|1023|違|differ|0
7|1024|維|fiber|0
7|1025|慰|consolation|0
7|1026|緯|horizontal|0
7|1027|壱|one (Falsification prevention)|0
7|1028|逸|deviate|0
7|1029|茨 |thorn|0
7|1030|芋|potato|0
7|1031|咽|throat|0
7|1032|姻|matrimony|0
7|1033|淫 |lewdness|0
7|1034|陰|shade|0
7|1035|隠|conceal|0
7|1036|韻|rhyme|0
7|1037|唄|songs with samisen|0
7|1038|鬱|gloom|0
7|1039|畝|furrow|0
7|1040|浦|bay|0
7|1041|詠|recitation|0
7|1042|影|shadow|0
7|1043|鋭|pointed|0
7|1044|疫|epidemic|0
7|1045|悦|ecstasy|0
7|1046|越|cross over|0
7|1047|謁|audience|0
7|1048|閲|review|0
7|1049|炎|inflammation|0
7|1050|怨|grudge|0
7|1051|宴|banquet|0
7|1052|媛|princess|0
7|1053|援|aid|0
7|1054|煙|smoke|0
7|1055|猿|monkey|0
7|1056|鉛|lead|0
7|1057|縁|affinity|0
7|1058|艶|glossy|0
7|1059|汚|dirty|0
7|1060|凹|concave|0
7|1061|押|push|0
7|1062|旺|flourishing|0
7|1063|欧|Europe|0
7|1064|殴|assault|0
7|1065|翁|venerable old man|0
7|1066|奥|heart|0
7|1067|岡|hill|0
7|1068|憶|recollection|0
7|1069|臆|timidity|0
7|1070|虞|uneasiness|0
7|1071|乙|the latter|0
7|1072|俺|I, we|0
7|1073|卸|wholesale|0
7|1074|穏|calm|0
7|1075|佳|excellent|0
7|1076|苛|torment|0
7|1077|架|rack|0
7|1078|華|splendor|0
7|1079|菓|confectionery|0
7|1080|渦|whirlpool|0
7|1081|嫁|marry into|0
7|1082|暇|spare time|0
7|1083|禍|calamity|0
7|1084|靴|shoes|0
7|1085|寡|widow|0
7|1086|箇|counters for things|0
7|1087|稼|earnings|0
7|1088|蚊|mosquito|0
7|1089|牙 |tusk|0
7|1090|瓦|tile|0
7|1091|雅|gracious|0
7|1092|餓|starve|0
7|1093|介|jammed in|0
7|1094|戒|commandment|0
7|1095|怪|suspicious|0
7|1096|拐|kidnap|0
7|1097|悔|repent|0
7|1098|皆|all|0
7|1099|塊|clod|0
7|1100|楷|square character style|0
7|1101|潰|crush|0
7|1102|壊|demolition|0
7|1103|懐|pocket|0
7|1104|諧|harmony|0
7|1105|劾|censure|0
7|1106|崖|cliff|0
7|1107|涯|horizon|0
7|1108|慨|rue|0
7|1109|蓋|cover|0
7|1110|該|above-stated|0
7|1111|概|outline|0
7|1112|骸|dead remains|0
7|1113|垣|hedge|0
7|1114|柿|persimmon|0
7|1115|核|nucleus|0
7|1116|殻|husk|0
7|1117|郭|enclosure|0
7|1118|較|contrast|0
7|1119|隔|isolate|0
7|1120|獲|seize|0
7|1121|嚇|menacing|0
7|1122|穫|harvest|0
7|1123|岳|point|0
7|1124|顎|jaw|0
7|1125|掛|hang|0
7|1126|潟|lagoon|0
7|1127|括|fasten|0
7|1128|喝|hoarse|0
7|1129|渇|thirst|0
7|1130|葛 |arrowroot|0
7|1131|滑|slippery|0
7|1132|褐|brown|0
7|1133|轄|control|0
7|1134|且|moreover|0
7|1135|釜|kettle|0
7|1136|鎌|sickle|0
7|1137|刈|reap|0
7|1138|甘|sweet|0
7|1139|汗|sweat|0
7|1140|缶|tin can|0
7|1141|肝|liver|0
7|1142|冠|crown|0
7|1143|陥|collapse|0
7|1144|乾|dry|0
7|1145|勘|intuition|0
7|1146|患|afflicted|0
7|1147|貫|pierce|0
7|1148|喚|yell|0
7|1149|堪|withstand|0
7|1150|換|interchange|0
7|1151|敢|daring|0
7|1152|棺|coffin|0
7|1153|款|goodwill|0
7|1154|閑|leisure|0
7|1155|勧|persuade|0
7|1156|寛|tolerant|0
7|1157|歓|delight|0
7|1158|監|oversee|0
7|1159|緩|slacken|0
7|1160|憾|remorse|0
7|1161|還|send back|0
7|1162|環|ring|0
7|1163|韓 |Korea|0
7|1164|艦|warship|0
